,Unnamed: 0,distance_x,distance_y,angles,follower_vx,follower_vy,follower_omega,leader_vx,leader_vy,leader_omega,leader_x,leader_y,follower_x,follower_y
0,0,1.6043556928634644,-1.4360777139663696,-0.3500107824802398,-0.0030270623974502,-0.0401032753288745,0.0002208117512054,-0.0019235090585425,9.881358710117638e-05,-4.880827418674016e-06,-41.50010681152344,45.00000381469727,-43.499629974365234,45.79887771606445
1,1,1.6046640515327453,-1.435705578327179,-0.34986009299755094,-0.0027740003075450497,-0.041138372197747144,-0.004507786285830719,0.0298543758690357,-1.6825659258756787e-05,6.203074320865198e-08,-41.49915313720703,45.00000381469727,-43.49909591674805,45.79733657836914
2,2,1.605351082086563,-1.4351699674129488,-0.349566293656826,-0.002549163616495185,-0.03728754641022525,-0.008997250722604846,0.0599859282374382,-1.94528947758954e-05,8.647458571431343e-08,-41.49723434448242,45.00000381469727,-43.49908447265625,45.79721450805664
3,3,1.606622748017311,-1.4345271281003953,-0.3491436328589916,-0.007172638207790415,-0.03360966157447539,-0.01304162886150883,0.0899837240576744,-1.57202757691266e-05,4.102318840182306e-08,-41.49435424804688,45.00000381469727,-43.50054168701172,45.796653747558594
4,4,1.6085176698327064,-1.4339715681910514,-0.348604776212573,-0.011518744257197223,-0.025475657536368754,-0.016687602666689807,0.1199748218059539,-1.2462330232665408e-05,7.137352486807913e-09,-41.49051284790039,45.00000381469727,-43.50257873535156,45.79751586914063
5,5,1.6112624852621555,-1.4333064474856854,-0.34782245851963756,-0.015434841925298069,-0.017932921174569003,-0.024310117990679003,0.1499675214290619,-9.888414751912933e-06,-7.479387775788382e-09,-41.48571395874024,45.0,-43.50464630126953,45.798465728759766
6,6,1.6150403423992397,-1.4325373934086563,-0.34680090633699295,-0.023640580279584128,-0.011134630760612853,-0.03179987016103248,0.1799619048833847,-7.865055522415787e-06,-1.295709539661516e-09,-41.47995376586914,45.0,-43.508113861083984,45.79893112182617
7,7,1.6198223355908037,-1.4318366378286245,-0.34556374509038623,-0.03141221460964268,-0.00038207887506137156,-0.038548824871613804,0.2000803500413894,-6.27452573098708e-06,1.4139753368169751e-08,-41.47354888916016,45.0,-43.512184143066406,45.80075454711914
8,8,1.6256898215561069,-1.4309923347597207,-0.3440060307881424,-0.03841672590910779,0.009661676118710784,-0.048577263371677004,0.2003064602613449,-5.0228477448399644e-06,2.998714876412123e-08,-41.46713638305664,45.0,-43.51629638671875,45.80271530151367
9,9,1.632723245425429,-1.429957136222561,-0.342128451791512,-0.0492709271747415,0.018733133342807712,-0.058583236709115624,0.2002540081739425,-4.0300574255525135e-06,6.430916243971296e-08,-41.460723876953125,45.0,-43.52177047729492,45.80424118041992
10,10,1.6406767905384951,-1.428737531342065,-0.33996331941524777,-0.054991986689437444,0.02683830884123911,-0.06757839349646363,0.2002027630805969,-3.2399807423644238e-06,9.941204126562297e-08,-41.45431518554688,45.0,-43.52601623535156,45.806182861328125
11,11,1.6494395620194662,-1.4271994801503025,-0.33753897474503186,-0.05957292437923164,0.02968418227456572,-0.07568739498620325,0.2001615017652511,-2.6094537588505773e-06,1.3169309909244478e-07,-41.44790649414063,45.0,-43.529632568359375,45.80685806274414
12,12,1.6590938109070887,-1.4251429175265076,-0.33476406389143165,-0.06369044337009379,0.031767727450930136,-0.0866498572674253,0.2001286447048187,-2.1050486793683376e-06,1.5919027873678718e-07,-41.441497802734375,45.0,-43.5331916809082,45.80739974975586
