,angles
0,-0.0002269788528792
1,-0.00016887350066096
2,0.0002464130180305959
3,0.001158145132561916
4,0.0025752594511810442
5,0.004447173888185919
6,0.006728327220409467
7,0.0093777176997626
8,0.012358448782106998
9,0.015637322704679435
10,0.01918446967663167
11,0.022671005424813602
12,0.025809424785038382
13,0.028600200042659524
14,0.03107677350241047
15,0.03301087684748858
16,0.0343988467066135
17,0.03529571775871329
18,0.036098232799272045
19,0.03678368562474874
20,0.03736322254551971
21,0.03784732413840464
22,0.03828293175296935
23,0.038639257542463695
24,0.03892347382799316
25,0.039142562454600884
26,0.039045876791172995
27,0.038605238375151535
28,0.037618252972141844
29,0.036137028416433285
30,0.03421015285441728
31,0.03188153163781271
32,0.02948502706310604
33,0.02702968755316544
34,0.0245215658926753
35,0.02196615122961219
36,0.01936836946642891
37,0.01673262913051096
38,0.014356565848569704
39,0.012216444109154314
40,0.010289075674956363
41,0.008518268535147908
42,0.006888124649251237
43,0.005421417367033434
44,0.0040642817645421105
45,0.0028435902517274596
46,0.0017461269211383739
47,0.0007215100850116166
48,-0.00023780549015542493
49,-0.0011386421794826423
50,-0.002242594917875638
51,-0.003413800394024334
52,-0.00482007491930056
53,-0.006654633611533583
54,-0.009025295999729805
55,-0.012055186936632545
56,-0.01556172014121033
57,-0.019627242155466816
58,-0.024475737393731774
59,-0.030068208856136994
60,-0.03599965877778952
61,-0.042249957240649665
62,-0.04847330631348068
63,-0.05437074182807719
64,-0.05996038685780151
65,-0.06527206230647607
66,-0.07064822475749769
67,-0.07578201735590562
68,-0.08040461520470378
69,-0.08452718329534409
70,-0.08820010234807857
71,-0.09179901266004079
72,-0.0950393000296244
73,-0.09791831097467142
74,-0.10047171492692883
75,-0.1024770667789911
76,-0.1039274168585421
77,-0.10464303561222682
78,-0.10498894707714435
79,-0.10494748687465412
80,-0.10490599291669804
81,-0.10483338252139815
82,-0.10473244919269735
83,-0.10460596636434902
84,-0.10445490946323134
85,-0.10428126651004364
86,-0.10408691836555668
87,-0.10387360399806381
88,-0.10338997554043422
89,-0.10295462424689074
90,-0.10285674466312114
91,-0.1030498141075985
92,-0.10350417590372112
93,-0.10419349890559028
94,-0.10509420056589641
95,-0.10590605395538982
96,-0.10659873969110883
97,-0.1071835591204736
98,-0.10767121691773295
99,-0.10807274054828249
100,-0.10839566458472279
101,-0.10898277270086407
102,-0.10979437104422865
103,-0.11080761794649674
104,-0.1117232579982559
105,-0.11251154369082571
106,-0.11318593689173327
107,-0.1137564633938956
108,-0.11397738796352931
109,-0.11382112987529862
110,-0.11332504678688907
111,-0.11287693660487946
112,-0.11243647469011142
113,-0.11200178384417765
114,-0.11157339337141338
115,-0.11089460721019824
116,-0.10993013385299372
117,-0.10870793330696396
118,-0.1076067346456096
119,-0.10657872630260397
120,-0.10594647934826024
121,-0.10565701032392805
122,-0.1053983694736298
123,-0.10512750310517574
124,-0.1048449445916762
125,-0.10455170817555934
126,-0.10424874541802957
127,-0.1042681953398325
128,-0.10456538910459917
129,-0.10511206356994605
130,-0.10560555623452926
131,-0.10601161300970074
132,-0.10633917566984556
133,-0.10659600794478949
134,-0.1067893661573353
135,-0.10725640423728428
136,-0.10795589239269555
137,-0.10858644128623657
138,-0.10911546272739515
139,-0.10988422518406579
140,-0.11085573988051059
141,-0.11200944847068943
142,-0.11304881736220498
143,-0.11369231028480749
144,-0.11391589134743885
145,-0.11411598181555636
