,angles
0,1.5141564801979257e-07
1,9.19965195308178e-05
2,0.000204213903857766
3,0.0002761429314529094
4,0.0003207920581685884
5,0.0002146943027119996
6,-5.903704839129028e-05
7,-0.0004535605602161111
8,-0.00095675582894945
9,-0.0015580738186919349
10,-0.0022479630276635515
11,-0.0030458828708596663
12,-0.0037662120037735294
13,-0.004415372583877506
14,-0.005000405843059536
15,-0.005674180203676502
16,-0.006456690227091561
17,-0.007309910009891014
18,-0.008226388037732433
19,-0.00919987075674342
20,-0.010224713949690517
21,-0.011295817331966985
22,-0.012408574256149435
23,-0.013558826818627861
24,-0.014595995187368455
25,-0.015530314525610017
26,-0.016389240903239666
27,-0.01718088824234713
28,-0.017912252295157086
29,-0.018423400638825388
30,-0.01874276085346343
31,-0.018733028884077678
32,-0.01857685106129462
33,-0.01843533604262186
34,-0.018453625229757242
35,-0.018470380168641696
36,-0.018338728810684456
37,-0.01807968123883298
38,-0.017845944799157597
39,-0.017635224934374635
40,-0.017445334167142508
41,-0.01742082409190517
42,-0.017546485450512593
43,-0.017660747992974304
44,-0.017781458969099925
45,-0.01774410472081625
46,-0.017569906852542064
47,-0.017412540734021688
48,-0.01728952184636189
49,-0.01719697998004072
50,-0.01726015991154533
51,-0.017552421081214138
52,-0.018139128726555986
53,-0.01893424843266673
54,-0.020009759071604016
55,-0.021426213609995484
56,-0.023237636978467136
57,-0.02546335090253337
58,-0.028080229422929134
59,-0.03088464949561558
60,-0.03386421566337408
61,-0.037001944915623024
62,-0.04012492805973042
63,-0.04323437819113149
64,-0.04618098297026586
65,-0.04883441217219977
66,-0.05120414096840752
67,-0.05331811769659995
68,-0.055201784943243966
69,-0.05687811852219799
70,-0.058240317231921246
71,-0.05928987824306597
72,-0.059939350009432804
73,-0.06018958530170145
74,-0.06026402115531941
75,-0.06015530898906153
76,-0.05976134210590149
77,-0.05925667921987436
78,-0.05880039310712154
79,-0.058535381045268786
80,-0.05829712425439967
81,-0.05806458450647663
82,-0.05783654785715762
83,-0.05761279161181947
84,-0.05726537514096707
85,-0.05677613496809789
86,-0.05633486811843146
87,-0.056084375123917715
88,-0.055999507493441986
89,-0.056063346552847934
90,-0.056121556450127764
91,-0.05615514232742715
92,-0.05616625366235906
93,-0.05615706824623168
94,-0.05613020397748905
95,-0.05608712215000115
96,-0.05590200196600307
97,-0.05573472920861555
98,-0.05556575620597641
99,-0.05539517177128231
100,-0.0550946268258998
101,-0.05464904475079559
102,-0.054248024235963074
103,-0.05387005102109842
104,-0.053512453807639464
105,-0.053173073550981914
106,-0.05285003714643953
107,-0.05254112869098518
108,-0.052244074475122096
109,-0.051957680506723454
110,-0.05184623931933998
111,-0.051885814607944114
112,-0.05192219195437969
113,-0.051935938173585
114,-0.05209468164210277
115,-0.05223810583202323
116,-0.05234820203347457
117,-0.05242809591916309
118,-0.052480893402341945
119,-0.052509184913972565
120,-0.05251591912252266
121,-0.052375760775886994
122,-0.052072058262303184
123,-0.05162090150285485
124,-0.051214029307085775
125,-0.05099406123005018
126,-0.05093621601023672
127,-0.051023911440596564
128,-0.05110382043203018
129,-0.051156710114004925
130,-0.05118538598053697
131,-0.05135771141797044
132,-0.05151343984618549
133,-0.05163451635731546
134,-0.05172467212879617
135,-0.05195218009654246
136,-0.05230364441487398
137,-0.052620584797381215
138,-0.05288672599034207
139,-0.05298030885610011
140,-0.052886857949671386
141,-0.05262577253250233
142,-0.05221346140803054
143,-0.05166597325415452
144,-0.05117209583947992
145,-0.05070896928396763
146,-0.050272972746672695
147,-0.049861150709374955
148,-0.04947095086656589
149,-0.049100877453231016
150,-0.048914420925983665
151,-0.0488875906825741
152,-0.04900437901860594
153,-0.04940726624828087
154,-0.05006791517348445
155,-0.05096054180155416
156,-0.052061961028190426
157,-0.05320075684774992
158,-0.054365115916631304
159,-0.055552305331142256
160,-0.056759905711094884
161,-0.0579860078352216
162,-0.05922870192446021
163,-0.06034714895651675
164,-0.06133465321212354
165,-0.06207690404071815
166,-0.06256767749382026
167,-0.06283245062464148
168,-0.0630688696411282
169,-0.06326314174893768
170,-0.06341905546572749
171,-0.0635409860526348
172,-0.0636321172459267
173,-0.0636955565521129
174,-0.06373353001257849
175,-0.06374852237207657
176,-0.06374264771136312
177,-0.06371844125741125
178,-0.06367791351336301
179,-0.06362199774376803
180,-0.06342494665973412
181,-0.06307050150090182
182,-0.06275019104588381
183,-0.0624440242824705
184,-0.062150523884095386
185,-0.06186742558151272
186,-0.06159428930941033
187,-0.061329900562728704
188,-0.06107309587892763
189,-0.06082315149691885
190,-0.06057891088235842
191,-0.06033965241171539
192,-0.060106073316254796
193,-0.05987699918119779
194,-0.0596522723183215
195,-0.05943158018992963
196,-0.05921418330138882
197,-0.05900017904698217
198,-0.05878875579648642
199,-0.05857974634659374
200,-0.05837251294635609
201,-0.05816680348500199
202,-0.057963354795437336
203,-0.05776145800286049
204,-0.05756087894141835
205,-0.05736152942389394
206,-0.05703508212039004
207,-0.05673998612644491
208,-0.056455717401047496
209,-0.05618096932739611
210,-0.05591555985782082
211,-0.05565813976204575
212,-0.05557288234838408
213,-0.05563599025078322
214,-0.055832565097818115
215,-0.05601064363313556
216,-0.05602472721808707
217,-0.05586087360328634
218,-0.05571202028703272
219,-0.05555979092936139
220,-0.055568862080756606
221,-0.055717637944385806
222,-0.05599191894367224
223,-0.05637865872891144
224,-0.0568667168472236
225,-0.05744567871576776
226,-0.05796778673368301
227,-0.05841834298763519
228,-0.05880413645798425
229,-0.059132408970246846
230,-0.05940860006837558
231,-0.059638156684891974
232,-0.05982627759217314
233,-0.05997713653599404
234,-0.06009392848630413
235,-0.06018028328734335
236,-0.06024008917734948
237,-0.06027506935232216
238,-0.060287798025906086
239,-0.06028045303705334
240,-0.06025454330816565
241,-0.06021184670962123
242,-0.060154941213463785
243,-0.060084948941172694
244,-0.060003143552632504
245,-0.05991069369348112
246,-0.05980846674292287
247,-0.059697267184099546
248,-0.05957891689488976
249,-0.05945369993224462
250,-0.0593223584703331
251,-0.05918574188754482
252,-0.05904400404935052
253,-0.058898016944333643
254,-0.05874784414601748
255,-0.05859420559971712
256,-0.05843705597969158
257,-0.0582769889097118
258,-0.05811390423423382
259,-0.05794819088560044
260,-0.057779901624754354
261,-0.05760922959539468
262,-0.05743736227834082
263,-0.05726387456492057
264,-0.05708896463008645
265,-0.05691309209071328
266,-0.056735958699012365
267,-0.05655765775766185
268,-0.056377760266597965
269,-0.056362098853590385
270,-0.056487796217920445
271,-0.05674057194059079
272,-0.05710815255461619
273,-0.05757872303979234
274,-0.05814199036946865
275,-0.058649870484390604
276,-0.0590877289140094
277,-0.0594623212126376
278,-0.05965282201237813
279,-0.05964694295347334
280,-0.05946467257160486
281,-0.05912439803736097
282,-0.05864305709710734
283,-0.058037827148237964
284,-0.057316368953167614
285,-0.05649122175792981
286,-0.05557183021801825
287,-0.05474172020999893
288,-0.053975774959161615
289,-0.0532671160537911
290,-0.052775404710076385
291,-0.05247287357613634
292,-0.052340375153111136
293,-0.052360987008708754
294,-0.05251885645785752
295,-0.05280030430733105
296,-0.05319376508634334
297,-0.053687531980047026
298,-0.054132369591745194
299,-0.054513323247986245
300,-0.054837338647744545
301,-0.055109938998372694
302,-0.0553368611061734
303,-0.05552289519526023
304,-0.05567167595461719
305,-0.05578723530860882
306,-0.05574474019609815
307,-0.05570525370064013
308,-0.05565091729482382
309,-0.05558390850115152
310,-0.05550498344857989
311,-0.055414736226434974
312,-0.05531429085603547
313,-0.055205470697324205
314,-0.05508876118919914
315,-0.05496491885657607
316,-0.05483470429309157
317,-0.054698789739560605
318,-0.05455775413568453
319,-0.05441165137579115
320,-0.05426101872286264
321,-0.054107224097499816
322,-0.05395008413551708
323,-0.05378948782585674
324,-0.053791561809503556
325,-0.05393357269822673
326,-0.05420123436623021
327,-0.054581747787355216
328,-0.05506420031531944
329,-0.05563807542929911
330,-0.056155280150263276
331,-0.05660189133342096
332,-0.05698459021558751
333,-0.057310148379001516
334,-0.05758419123362914
335,-0.05781244922046139
336,-0.05799935255972392
337,-0.05814896854336124
338,-0.05826448611237162
339,-0.058349266306914865
