,episode,return,algo
0,0.0,-57.99127197265625,teacher policy
1,0.0,-66.11441040039062,teacher policy
2,3000.0,-58.15237594604492,teacher policy
3,3000.0,-66.14087677001953,teacher policy
4,6000.0,-58.32400463562011,teacher policy
5,6000.0,-66.15025161743165,teacher policy
6,9000.0,-58.468639502624505,teacher policy
7,9000.0,-66.15234164733887,teacher policy
8,12000.0,-58.61625127067748,teacher policy
9,12000.0,-66.13635261468507,teacher policy
10,15000.0,-58.75612702041042,teacher policy
11,15000.0,-66.1719893624402,teacher policy
12,18000.0,-58.902766107199476,teacher policy
13,18000.0,-66.13846290526952,teacher policy
14,21000.0,-59.01576501479182,teacher policy
15,21000.0,-66.12186521698834,teacher policy
16,24000.0,-59.08028400404676,teacher policy
17,24000.0,-66.12858150761927,teacher policy
18,27000.0,-59.212697336417,teacher policy
19,27000.0,-66.12598927810166,teacher policy
20,30000.0,-59.34910302713983,teacher policy
21,30000.0,-66.07273646031305,teacher policy
22,33000.0,-59.42804381815954,teacher policy
23,33000.0,-66.00116454360679,teacher policy
24,36000.0,-59.56319433706002,teacher policy
25,36000.0,-66.00815968535184,teacher policy
26,39000.0,-59.66715460193014,teacher policy
27,39000.0,-65.97430752680106,teacher policy
28,42000.0,-59.76359468249896,teacher policy
29,42000.0,-65.955345973433,teacher policy
30,45000.0,-59.869259220733746,teacher policy
31,45000.0,-65.77799198365183,teacher policy
32,48000.0,-59.99624888373118,teacher policy
33,48000.0,-65.74933048992605,teacher policy
34,51000.0,-60.11919454204288,teacher policy
35,51000.0,-65.78000473828183,teacher policy
36,54000.0,-60.227480512041865,teacher policy
37,54000.0,-65.7960011706158,teacher policy
38,57000.0,-60.32715361908618,teacher policy
39,57000.0,-65.81115109349254,teacher policy
40,60000.0,-60.303983807202506,teacher policy
41,60000.0,-65.83873849642738,teacher policy
42,63000.0,-60.36599525654674,teacher policy
43,63000.0,-65.82918510101057,teacher policy
44,66000.0,-60.476202054296664,teacher policy
45,66000.0,-65.84720741705677,teacher policy
46,69000.0,-60.555914615993935,teacher policy
47,69000.0,-65.86760366178204,teacher policy
48,72000.0,-60.64691134442601,teacher policy
49,72000.0,-65.67116452189602,teacher policy
50,75000.0,-60.73250278062343,teacher policy
51,75000.0,-65.4754331870245,teacher policy
52,78000.0,-60.76724283121214,teacher policy
53,78000.0,-65.48698409359652,teacher policy
54,81000.0,-60.85105736789844,teacher policy
55,81000.0,-65.51317474009373,teacher policy
56,84000.0,-60.93769390486665,teacher policy
